You've Got To Give Me Some	1920	date
You Stole My Man	1920	date
Yonder Come The Blues	1920	date
Yodling Blues	1920	date
Worn Down Daddy	1920	date
Wild WomenDon't Have The Blues	1920	date
Whoa, Tillie, Take Your Time	1920	date
Walking Blues	1920	date
Waitin' For The Evenin' Mail	1920	date
Those All Night Long Blues	1920	date
Thinking Blues	1920	date
St. Louis Gal	1920	date
Southern Blues	1920	date
Shipwrecked Blues	1920	date
Seven Day Blues	1920	date
Sam Jones Blues	1920	date
Reckless Blues	1920	date
Rambling Blues	1920	date
Put It Right Here (Or Keep It Out There)	1920	date
Prescription For The Blues	1920	date
Pinchbacks - Take 'Em Away	1920	date
Outside Of That	1920	date
Nobody In Town Can Bake A Sweet Jelly Roll Like Mine	1920	date
My Sweetie Went Away	1920	date
My Man Blues	1920	date
Moonshine Blues	1920	date
Mistreating Daddy	1920	date
Lovin' Is The Thing I'm Wild About	1920	date
Last Minute Blues	1920	date
Lady Luck Blues	1920	date
Keeps On A-Rainin'	1920	date
Jailhouse Blues	1920	date
If You Don't, I Know Who Will	1920	date
Ida Cox's Lawdy Lawdy Blues	1920	date
I Never Miss The Sunshine (I'm So Used To The Rain)	1920	date
I'm Going Back To My Used To Be	1920	date
Hard Time Blues	1920	date
Gulf Coast Blues	1920	date
Graveyard Dream Blues	1920	date
Give Me A Break Blues	1920	date
Frosty Morning	1920	date
Fogyism	1920	date
Eavesdropper's Blues	1920	date
Downhearted Blues	1920	date
Don't Never Tell Nobody	1920	date
Don't Fish In My Sea	1920	date
Devil's Gonna Git You	1920	date
Counting The Blues	1920	date
Chicago Monkey Man Blues	1920	date
Cherry Picking Blues	1920	date
Cemetery Blues	1920	date
Broadcasting Blues	1920	date
Booze Crazy Man Blues	1920	date
Bo-Weavil Blues	1920	date
Blues And Booze	1920	date
Blues Ain't Nothin' Else But!	1920	date
Bleeding Hearted Blues	1920	date
Beale Street Mama	1920	date
Barrel House Blues	1920	date
Bama Bound Blues	1920	date
Awful Moanin' Blues	1920	date
Any Woman's Blues	1920	date
Ain't Gonna Play No 2nd Fiddle	1920	date
Aggravatin' Papa	1920	date
After You've Gone	1920	date
See That My Grave Is Kept Clean	1920	date
You've Got To Give Me Some	1920	date
You Stole My Man	1920	date
Yonder Come The Blues	1920	date
Yodling Blues	1920	date
Worn Down Daddy	1920	date
Wild WomenDon't Have The Blues	1920	date
Whoa, Tillie, Take Your Time	1920	date
Walking Blues	1920	date
Waitin' For The Evenin' Mail	1920	date
Those All Night Long Blues	1920	date
Thinking Blues	1920	date
St. Louis Gal	1920	date
Southern Blues	1920	date
Shipwrecked Blues	1920	date
Seven Day Blues	1920	date
Sam Jones Blues	1920	date
Reckless Blues	1920	date
Rambling Blues	1920	date
Put It Right Here (Or Keep It Out There)	1920	date
Prescription For The Blues	1920	date
Pinchbacks - Take 'Em Away	1920	date
Outside Of That	1920	date
Nobody In Town Can Bake A Sweet Jelly Roll Like Mine	1920	date
My Sweetie Went Away	1920	date
My Man Blues	1920	date
Moonshine Blues	1920	date
Mistreating Daddy	1920	date
Lovin' Is The Thing I'm Wild About	1920	date
Last Minute Blues	1920	date
Lady Luck Blues	1920	date
Keeps On A-Rainin'	1920	date
Jailhouse Blues	1920	date
If You Don't, I Know Who Will	1920	date
Ida Cox's Lawdy Lawdy Blues	1920	date
I Never Miss The Sunshine (I'm So Used To The Rain)	1920	date
I'm Going Back To My Used To Be	1920	date
Hard Time Blues	1920	date
Gulf Coast Blues	1920	date
Graveyard Dream Blues	1920	date
Give Me A Break Blues	1920	date
Frosty Morning	1920	date
Fogyism	1920	date
Eavesdropper's Blues	1920	date
Downhearted Blues	1920	date
Don't Never Tell Nobody	1920	date
Don't Fish In My Sea	1920	date
Devil's Gonna Git You	1920	date
Counting The Blues	1920	date
Chicago Monkey Man Blues	1920	date
Cherry Picking Blues	1920	date
Cemetery Blues	1920	date
Broadcasting Blues	1920	date
Booze Crazy Man Blues	1920	date
Bo-Weavil Blues	1920	date
Blues And Booze	1920	date
Blues Ain't Nothin' Else But!	1920	date
Bleeding Hearted Blues	1920	date
Beale Street Mama	1920	date
Barrel House Blues	1920	date
Bama Bound Blues	1920	date
Awful Moanin' Blues	1920	date
Any Woman's Blues	1920	date
Ain't Gonna Play No 2nd Fiddle	1920	date
Aggravatin' Papa	1920	date
After You've Gone	1920	date
See That My Grave Is Kept Clean	1920	date
Until My Love Come Down	1930	date
Take Him Off My Mind	1930	date
Shipwreck Blues	1930	date
Pink Slip Blues	1930	date
I Need A Little Sugar In My Bowl	1930	date
Hard Time Blues	1930	date
Until My Love Come Down	1930	date
Take Him Off My Mind	1930	date
Shipwreck Blues	1930	date
Pink Slip Blues	1930	date
I Need A Little Sugar In My Bowl	1930	date
Hard Time Blues	1930	date
Win The War Blues	1940	date
Streamline Woman	1940	date
Ramblin' Kid Blues (version 1)	1940	date
Mean Red Spider	1940	date
I Can't Be Satisfied	1940	date
I Be's Troubled	1940	date
Win The War Blues	1940	date
Streamline Woman	1940	date
Ramblin' Kid Blues (version 1)	1940	date
Mean Red Spider	1940	date
I Can't Be Satisfied	1940	date
You Upset Me Baby	1950	date
You Gonna Wreck My Life	1950	date
You Can't Be Beat	1950	date
Work For Your Money	1950	date
Wobblin' Baby	1950	date
Why I Sing The Blues	1950	date
Who Will Be Next	1950	date
Who Do You Love	1950	date
They Call Me Muddy Waters	1950	date
Sweet Home Chicago	1950	date
Sometimes	1950	date
Sittin' On Top Of The World	1950	date
She's Dynamite	1950	date
She's Alright	1950	date
Say Man	1950	date
Rockin' Daddy	1950	date
Rock Me Baby	1950	date
Recession Blues	1950	date
Pretty Thing (version 2)	1950	date
Pretty Thing (version 1)	1950	date
Please Love Me	1950	date
Oh Red! (Take 2)	1950	date
Next Time You See Me	1950	date
Nature	1950	date
Natchez Burning	1950	date
My Last Affair (Take 1)	1950	date
My Baby Walked Off	1950	date
Mr. Airplane Man	1950	date
Mother-In-law Blues	1950	date
Mean Mistreater	1950	date
Maudie (Version 1)	1950	date
Louisiana Blues	1950	date
Lonesome Road Blues	1950	date
Little Wheel	1950	date
Just My Kind	1950	date
I've Been Abused	1950	date
(I'm Your)Hoochie Coochie Man	1950	date
I'm The Wolf	1950	date
I'm Sorry	1950	date
I'm Looking For AWoman	1950	date
I'mIn The Mood (Version 1)	1950	date
I'm A Man	1950	date
I'll Be Around	1950	date
I Just Want To Make Love To You	1950	date
I Didn't Know	1950	date
Hush Your Mouth	1950	date
How Can You Do It?	1950	date
Honey Bee	1950	date
Hobo Blues	1950	date
Hey, Bo Diddley	1950	date
Good Mornin' Lil' School Girl	1950	date
Everyday I Have The Blues (Version 1)	1950	date
Down At The Landing	1950	date
Dorothy Mae	1950	date
Dimples	1950	date
Diddley Daddy	1950	date
Decoration Day	1950	date
Dearest Darling	1950	date
Dark Is The Night	1950	date
Crawlin' Kingsnake	1950	date
Crawlin' Black Spider	1950	date
Cold Chills All Over Me	1950	date
Church Bell Tone	1950	date
Change My Way	1950	date
Cadillac Daddy (Mr. Highway Man)	1950	date
Bring It To Jerome	1950	date
Baby, Boogie Chillun	1950	date
Bo Diddley (version 2)	1950	date
Bluebird Blues	1950	date
Baby Please Don't Go	1950	date
Baby, Baby Lee (Version 1)	1950	date
Drinkin' C.V. Wine	1950	date
You Upset Me Baby	1950	date
You Gonna Wreck My Life	1950	date
You Can't Be Beat	1950	date
Work For Your Money	1950	date
Wobblin' Baby	1950	date
Why I Sing The Blues	1950	date
Who Will Be Next	1950	date
Who Do You Love	1950	date
They Call Me Muddy Waters	1950	date
Sweet Home Chicago	1950	date
Sometimes	1950	date
Sittin' On Top Of The World	1950	date
She's Dynamite	1950	date
She's Alright	1950	date
Say Man	1950	date
Rockin' Daddy	1950	date
Rock Me Baby	1950	date
Recession Blues	1950	date
Pretty Thing (version 2)	1950	date
Pretty Thing (version 1)	1950	date
Please Love Me	1950	date
Oh Red! (Take 2)	1950	date
Next Time You See Me	1950	date
Nature	1950	date
Natchez Burning	1950	date
My Last Affair (Take 1)	1950	date
My Baby Walked Off	1950	date
Mr. Airplane Man	1950	date
Mother-In-law Blues	1950	date
Maudie (Version 1)	1950	date
Louisiana Blues	1950	date
Lonesome Road Blues	1950	date
Little Wheel	1950	date
Just My Kind	1950	date
I've Been Abused	1950	date
(I'm Your)Hoochie Coochie Man	1950	date
I'm The Wolf	1950	date
I'm Sorry	1950	date
I'm Looking For AWoman	1950	date
I'mIn The Mood (Version 1)	1950	date
I'm A Man	1950	date
I'll Be Around	1950	date
I Just Want To Make Love To You	1950	date
I Didn't Know	1950	date
Hush Your Mouth	1950	date
How Can You Do It?	1950	date
Honey Bee	1950	date
Hobo Blues	1950	date
Hey, Bo Diddley	1950	date
Good Mornin' Lil' School Girl	1950	date
Everyday I Have The Blues (Version 1)	1950	date
Down At The Landing	1950	date
Dorothy Mae	1950	date
Dimples	1950	date
Diddley Daddy	1950	date
Decoration Day	1950	date
Dearest Darling	1950	date
Dark Is The Night	1950	date
Crawlin' Kingsnake	1950	date
Crawlin' Black Spider	1950	date
Church Bell Tone	1950	date
Change My Way	1950	date
Cadillac Daddy (Mr. Highway Man)	1950	date
Bring It To Jerome	1950	date
Baby, Boogie Chillun	1950	date
Bo Diddley (version 2)	1950	date
Bluebird Blues	1950	date
Baby Please Don't Go	1950	date
Baby, Baby Lee (Version 1)	1950	date
Drinkin' C.V. Wine	1950	date
You Shouldn't Have Left Me	1960	date
You Put It On Me	1960	date
You Done Lost Your Good Thing Now	1960	date
You Don't Have To Go	1960	date
You Can't Judge A Book By It's Cover	1960	date
Yonder's Wall	1960	date
Worried Life	1960	date
Woke Up This Morning (My Baby's Gone)	1960	date
Who's Been Talkin'	1960	date
What'd I Say	1960	date
(The) Waterfront	1960	date
Want Ad Blues	1960	date
Wang Dang Doodle	1960	date
Turtle Blues	1960	date
Tupelo	1960	date
Three Hundred Pounds Of Joy	1960	date
This Is Hip	1960	date
Thirteen Highway	1960	date
The Red Rooster	1960	date
The Jungle	1960	date
Tell Me What I've Done	1960	date
Tail Dragger	1960	date
Sweet Little Angel (Version 1)	1960	date
Strange Things	1960	date
Strange Things Happening	1960	date
Stop Leadin' Me On	1960	date
Stand By Me	1960	date
Spoonful	1960	date
Someone Somewhere	1960	date
Someday Baby	1960	date
Sneakin' Around	1960	date
Smokestack Lightnin'	1960	date
Slowly Losing My Mind	1960	date
Sloppy Drunk	1960	date
Sky Is Crying	1960	date
Shake For Me	1960	date
Send Me Your Pillow	1960	date
Road Runner	1960	date
Ramblin' On My Mind	1960	date
Process	1960	date
Please Set A Date	1960	date
Paying The Cost To Be The Boss	1960	date
Parchman Farm	1960	date
Ooh Baby (Hold Me)	1960	date
One More Mile	1960	date
No More Doggin'	1960	date
Never Trust A Woman	1960	date
My First Wife Left Me	1960	date
My Dog Can't Bark	1960	date
(My Country) Sugar Mama	1960	date
Money's Gettin' Cheaper	1960	date
Messin' With The Man	1960	date
Little Girl	1960	date
Little Baby	1960	date
Lets Get Down To Business	1960	date
Let's Make It	1960	date
Key To Love	1960	date
Kansas City	1960	date
Just A Little Love	1960	date
Jivin' Woman	1960	date
It's You I Love Baby	1960	date
It's My Own Fault	1960	date
It's A Pity	1960	date
It's A Mean World	1960	date
It Ain't Right	1960	date
In The Dark	1960	date
I Want You So Bad	1960	date
I've Been Treated Wrong	1960	date
I Put My Trust On You	1960	date
I Need You Baby	1960	date
I Need Some Money	1960	date
I'm Wanderin'	1960	date
I'mMad Again	1960	date
I'mLeaving Baby	1960	date
I'm Gonna Do What They Do To Me	1960	date
I'mGoing Upstairs	1960	date
I Know What Your Putting Down	1960	date
I Got My Brand On You	1960	date
I Done Got Wise	1960	date
I Asked For Water	1960	date
Howlin' For My Baby	1960	date
How Many More Years	1960	date
How Long Blues	1960	date
Help The Poor (Version 1)	1960	date
Have You Heard	1960	date
Grab Me A Freight	1960	date
Got My Mojo Working	1960	date
Got A Good Thing Goin'	1960	date
Gonna Keep On Loving You	1960	date
Going Down Slow	1960	date
Goin' Down Slow	1960	date
Get Off My Back Woman	1960	date
Get Myself Somebody	1960	date
Gambler's Blues	1960	date
Frisco Blues	1960	date
Fools Get Wise	1960	date
Five Long Years (Version 2)	1960	date
Evil	1960	date
Everyday I Have The Blues (Version 3)	1960	date
Elevate Me Mama	1960	date
Early In The Morning (Version 1)	1960	date
Driving Wheel	1960	date
Drinking Beer	1960	date
Downhearted	1960	date
Down In The Bottom	1960	date
Double Crossing Time	1960	date
Don't Let Go	1960	date
Don't Get Around Much Anymore	1960	date
Don't Answer The Door	1960	date
Democrat Man	1960	date
Days Of Old (Version 1)	1960	date
Cryin' For My Baby	1960	date
Confessin' The Blues	1960	date
Come Back Baby	1960	date
Cane River	1960	date
Callin' On My Darlin'	1960	date
Buzz Me (Version 1)	1960	date
Built For Comfort	1960	date
Boom Boom	1960	date
Bo Diddley's A Gunslinger	1960	date
Baby, Blues Before Sunrise (Version 2)	1960	date
Blues At Midnight	1960	date
Blindman	1960	date
Be Careful With A Fool	1960	date
All Your Love	1960	date
All Over Again	1960	date
I Know You Rider	1960	date
You Put It On Me	1960	date
You Done Lost Your Good Thing Now	1960	date
You Don't Have To Go	1960	date
You Can't Judge A Book By It's Cover	1960	date
Yonder's Wall	1960	date
Worried Life	1960	date
Woke Up This Morning (My Baby's Gone)	1960	date
Who's Been Talkin'	1960	date
What'd I Say	1960	date
(The) Waterfront	1960	date
Want Ad Blues	1960	date
Wang Dang Doodle	1960	date
Turtle Blues	1960	date
Tupelo	1960	date
Three Hundred Pounds Of Joy	1960	date
This Is Hip	1960	date
Thirteen Highway	1960	date
The Red Rooster	1960	date
The Jungle	1960	date
Tell Me What I've Done	1960	date
Tail Dragger	1960	date
Sweet Little Angel (Version 1)	1960	date
Strange Things	1960	date
Strange Things Happening	1960	date
Stop Leadin' Me On	1960	date
Stand By Me	1960	date
Spoonful	1960	date
Someone Somewhere	1960	date
Someday Baby	1960	date
Sneakin' Around	1960	date
Smokestack Lightnin'	1960	date
Slowly Losing My Mind	1960	date
Sloppy Drunk	1960	date
Sky Is Crying	1960	date
Shake For Me	1960	date
Send Me Your Pillow	1960	date
Road Runner	1960	date
Ramblin' On My Mind	1960	date
Process	1960	date
Please Set A Date	1960	date
Paying The Cost To Be The Boss	1960	date
Parchman Farm	1960	date
Ooh Baby (Hold Me)	1960	date
One More Mile	1960	date
No More Doggin'	1960	date
Never Trust A Woman	1960	date
My First Wife Left Me	1960	date
My Dog Can't Bark	1960	date
(My Country) Sugar Mama	1960	date
Money's Gettin' Cheaper	1960	date
Messin' With The Man	1960	date
Little Girl	1960	date
Little Baby	1960	date
Lets Get Down To Business	1960	date
Let's Make It	1960	date
Key To Love	1960	date
Kansas City	1960	date
Just A Little Love	1960	date
Jivin' Woman	1960	date
It's You I Love Baby	1960	date
It's My Own Fault	1960	date
It's A Pity	1960	date
It's A Mean World	1960	date
It Ain't Right	1960	date
In The Dark	1960	date
I Want You So Bad	1960	date
I've Been Treated Wrong	1960	date
I Put My Trust On You	1960	date
I Need You Baby	1960	date
I Need Some Money	1960	date
I'm Wanderin'	1960	date
I'mMad Again	1960	date
I'mLeaving Baby	1960	date
I'm Gonna Do What They Do To Me	1960	date
I'mGoing Upstairs	1960	date
I Love You So	1960	date
I Know What Your Putting Down	1960	date
I Got My Brand On You	1960	date
I Done Got Wise	1960	date
I Asked For Water	1960	date
Howlin' For My Baby	1960	date
How Many More Years	1960	date
How Long Blues	1960	date
Help The Poor (Version 1)	1960	date
Have You Heard	1960	date
Grab Me A Freight	1960	date
Got My Mojo Working	1960	date
Got A Good Thing Goin'	1960	date
Gonna Keep On Loving You	1960	date
Going Down Slow	1960	date
Goin' Down Slow	1960	date
Get Off My Back Woman	1960	date
Get Myself Somebody	1960	date
Gambler's Blues	1960	date
Frisco Blues	1960	date
Fools Get Wise	1960	date
Five Long Years (Version 2)	1960	date
Evil	1960	date
Everyday I Have The Blues (Version 3)	1960	date
Elevate Me Mama	1960	date
Early In The Morning (Version 1)	1960	date
Driving Wheel	1960	date
Drinking Beer	1960	date
Downhearted	1960	date
Down In The Bottom	1960	date
Double Crossing Time	1960	date
Don't Let Go	1960	date
Don't Get Around Much Anymore	1960	date
Don't Answer The Door	1960	date
Democrat Man	1960	date
Days Of Old (Version 1)	1960	date
Cryin' For My Baby	1960	date
Confessin' The Blues	1960	date
Come Back Baby	1960	date
Cane River	1960	date
Callin' On My Darlin'	1960	date
Buzz Me (Version 1)	1960	date
Built For Comfort	1960	date
Boom Boom	1960	date
Bo Diddley's A Gunslinger	1960	date
Baby, Blues Before Sunrise (Version 2)	1960	date
Blues At Midnight	1960	date
Blindman	1960	date
Be Careful With A Fool	1960	date
All Your Love	1960	date
All Over Again	1960	date
I Know You Rider	1960	date
You're Still My Woman	1970	date
You Got To Lose	1970	date
You Can't Lose What You Never Had	1970	date
Who Are You	1970	date
When The Welfare Turns Its Back On You	1970	date
Waitin' For The Bus	1970	date
Took The Car	1970	date
The Blues Had A Baby And They Named It Rock And Roll	1970	date
The Beginning Of The End	1970	date
That's What The Blues Is All About	1970	date
Take It Home	1970	date
(Somebody Else Been) Shakin' Your Tree	1970	date
She Loves My Automobile	1970	date
Second Hand Woman	1970	date
Same Old Story (Same Old Song)	1970	date
Running Out Of Steam	1970	date
Rub My Back	1970	date
Power Of The Blues	1970	date
Part Time Love	1970	date
Pan Am Highway Blues	1970	date
Pack It Up	1970	date
One Bourbon, One Scotch, One Beer	1970	date
Niji Baby	1970	date
Never Make A Move Too Soon	1970	date
Neighbor, Neighbor	1970	date
My Pretty Girl	1970	date
My Babe	1970	date
Move Me On Down The Line	1970	date
Move It On Over	1970	date
Midnight Believer	1970	date
Mamie	1970	date
Madison Blues	1970	date
Let The Good Times Roll (Version 1)	1970	date
Let Me Make You Cry A Little Longer	1970	date
Just Got Paid	1970	date
Just Got Back From Baby's	1970	date
Jesus Just Left Chicago	1970	date
I Wonder Why	1970	date
I Want To Be Loved	1970	date
I Wanna Get Funky	1970	date
I've Got Papers On You	1970	date
I've Always Been Lonely	1970	date
I'm Ready	1970	date
I Love You So	1970	date
I'll Play The Blues For You (Part 1 and 2)	1970	date
I Like To Live The Love	1970	date
I Just Can't Leave Your Love Alone	1970	date
I Get Evil	1970	date
I Don't Care What My Baby Do	1970	date
Hummingbird	1970	date
How Blue Can You Get	1970	date
Hold On	1970	date
Hi Fi Mama	1970	date
Happy Birthday Blues	1970	date
Guitar Man	1970	date
Go Underground	1970	date
Ghetto Woman	1970	date
GetOut Of My Life Woman	1970	date
Five Long Years (Version 1)	1970	date
Eyesight To The Blind	1970	date
Everyday I Have The Blues (Version 2)	1970	date
Dust My Broom	1970	date
Deep Down In Florida	1970	date
Deep Blues Sea	1970	date
Crying	1970	date
Crosseyed Cat	1970	date
Come By Here	1970	date
Cocaine Blues	1970	date
Change Of Pace	1970	date
Chains And Things	1970	date
Certified Blues	1970	date
Can't You See What You're Doing To Me	1970	date
Can't Stop Lovin'	1970	date
Call My Job	1970	date
Caldonia (Version 1)	1970	date
Brown Sugar	1970	date
Born Under A Bad Sign	1970	date
Blue Shadows	1970	date
Blue Jean Blues	1970	date
Big Legged Women	1970	date
Better Not Look Down	1970	date
Bar-B-Q	1970	date
Back Door Love Affair	1970	date
Ask Me No Questions	1970	date
Answer To The Laundromat Blues	1970	date
Ain't Nothing You Can Do	1970	date
Ain't Nobody's Business	1970	date
Ain't Nobody Home	1970	date
(Ain't It) A Real Good Sign	1970	date
Ain't Gonna Worry My Life Anymore	1970	date
A World Full Of Strangers	1970	date
A Story Everybody Knows	1970	date
You Were Wrong	1970	date
You're Still My Woman	1970	date
You Got To Lose	1970	date
You Can't Lose What You Never Had	1970	date
Who Are You	1970	date
When The Welfare Turns Its Back On You	1970	date
Waitin' For The Bus	1970	date
Took The Car	1970	date
The Blues Had A Baby And They Named It Rock And Roll	1970	date
The Beginning Of The End	1970	date
That's What The Blues Is All About	1970	date
Take It Home	1970	date
(Somebody Else Been) Shakin' Your Tree	1970	date
She Loves My Automobile	1970	date
Second Hand Woman	1970	date
Same Old Story (Same Old Song)	1970	date
Running Out Of Steam	1970	date
Rub My Back	1970	date
Power Of The Blues	1970	date
Part Time Love	1970	date
Pan Am Highway Blues	1970	date
Pack It Up	1970	date
One Bourbon, One Scotch, One Beer	1970	date
Niji Baby	1970	date
Never Make A Move Too Soon	1970	date
Neighbor, Neighbor	1970	date
My Pretty Girl	1970	date
My Babe	1970	date
Move Me On Down The Line	1970	date
Move It On Over	1970	date
Midnight Believer	1970	date
Master Charge (version 1)	1970	date
Mamie	1970	date
Madison Blues	1970	date
Let The Good Times Roll (Version 1)	1970	date
Let Me Make You Cry A Little Longer	1970	date
Just Got Paid	1970	date
Just Got Back From Baby's	1970	date
Jesus Just Left Chicago	1970	date
I Wonder Why	1970	date
I Want To Be Loved	1970	date
I Wanna Get Funky	1970	date
I've Got Papers On You	1970	date
I've Always Been Lonely	1970	date
I'm Ready	1970	date
I'll Play The Blues For You (Part 1 and 2)	1970	date
I Like To Live The Love	1970	date
I Just Can't Leave Your Love Alone	1970	date
I Get Evil	1970	date
I Don't Care What My Baby Do	1970	date
Hummingbird	1970	date
How Blue Can You Get	1970	date
Hold On	1970	date
Hi Fi Mama	1970	date
